0060193395	0.39008051975678
0060392452	0.24084062321792
0060514558	0.20424809493931
0060582510	0.56485254979018
0060761288	0.24717907194123
0060763957	0.74303694227162
0060875410	0.88627167310378
0060928336	nan
0060930535	0.2737728280058
0060938455	0.19868077720406
0060987103	0.12589077331398
0062502182	-0.16103415247262
0066214130	0.65060307273362
0140177396	nan
014028009X	-0.17820257219436
014131088X	nan
0142001740	-0.063188433570594
0156027321	0.15593980576604
0310205719	-0.2622896141816
0312195516	0.32293036065881
0312278586	-0.10143283143611
0312857691	nan
0312864256	-0.33808978189041
0312864590	-0.43571100704557
0316011770	-0.25626695392152
0316601950	nan
0316666343	-0.20915607716464
0316769487	-0.083577001359057
0345340426	-0.037256692502297
0345342968	0.093056027011333
0345417623	-0.37202975762533
0374332657	nan
0375826688	-0.41669068892751
038529929X	nan
0385335482	nan
0385337116	-0.30054722716182
0385484518	nan
0385497466	-0.15338896922636
038550120X	0.02884103664139
0385504209	-0.24398730466953
0393317552	0.35041123223318
0399142789	0.28752055242107
0399144463	-0.61312053288009
039914563X	-0.50132633267264
039915079X	-0.34168530135618
0399150897	-0.40114822146978
0399501487	nan
0425198243	-0.66441029563655
0439064864	nan
0439136350	nan
0439139597	nan
043935806X	nan
0439784549	-0.059753619131543
0440212561	0.011271601664348
0440219078	nan
0440414806	nan
0446310786	0.2745341018977
044652252X	0.28000122350322
0446532231	0.58517535239809
0446608955	nan
0446672211	nan
0446677450	-0.28304241606389
0449004023	0.22500441214183
0451191145	0.3009819793245
0451524934	0.21987465498088
0451526341	nan
0525947647	0.61097378252701
0553272535	nan
0553375407	0.21249717077833
0553573403	0.14262426679962
0590353403	nan
059035342X	nan
0609610597	-0.43521340554403
0671021001	nan
0671025368	-0.1343739981275
0671027344	nan
0671027360	-0.19258892870781
0671524313	-0.34853239187888
0679444815	-0.17410374305212
0679735771	0.14886701454897
0679781587	nan
0684801523	0.27049281617158
068484267X	-0.21119114911968
0689817851	nan
0743222245	-0.49938128071161
0785263535	0.48508738635457
0786868716	0.20379914249302
0812511816	-0.17710781171114
0812548051	-0.12540207964732
0812550706	nan
0842329129	-0.47634538111332
0895260174	0.66760818665021
0895261901	0.51120722369083
0971453209	-0.48192613406059
0975599518	-0.53298565388324
1400046610	0.43712455532623
1400050308	-0.078667976189498
1558743669	nan
1576734587	-0.27504750180718
1594480001	0.25035748003019
